country,Time,Happiness_score
Australia,2010,7.450047016
Australia,2011,7.405616283
Australia,2012,7.195585728
Australia,2013,7.364169121
Australia,2014,7.288550377
Australia,2015,7.309060574
Australia,2016,7.250080109
Australia,2017,7.25703764
Australia,2018,7.17699337
Australia,2019,7.233994961
Azerbaijan,2010,4.218610764
Azerbaijan,2011,4.680469513
Azerbaijan,2012,4.910771847
Azerbaijan,2013,5.481178284
Azerbaijan,2014,5.25153017
Azerbaijan,2015,5.146774769
Azerbaijan,2016,5.303894997
Azerbaijan,2017,5.152279377
Azerbaijan,2018,5.167995453
Azerbaijan,2019,5.173389435
Bangladesh,2010,4.858481407
Bangladesh,2011,4.985649109
Bangladesh,2012,4.724443913
Bangladesh,2013,4.660161018
Bangladesh,2014,4.635564804
Bangladesh,2015,4.633473873
Bangladesh,2016,4.5561409
Bangladesh,2017,4.309771061
Bangladesh,2018,4.499217033
Bangladesh,2019,5.114216805
Belarus,2010,5.525923252
Belarus,2011,5.225307941
Belarus,2012,5.749043465
Belarus,2013,5.876466274
Belarus,2014,5.812400818
Belarus,2015,5.718907833
Belarus,2016,5.177899361
Belarus,2017,5.552915096
Belarus,2018,5.233769894
Belarus,2019,5.821453094
Bolivia,2010,5.780620098
Bolivia,2011,5.778874397
Bolivia,2012,6.018894672
Bolivia,2013,5.767428875
Bolivia,2014,5.864798546
Bolivia,2015,5.834329128
Bolivia,2016,5.769723415
Bolivia,2017,5.65055275
Bolivia,2018,5.915734291
Bolivia,2019,5.67427063
Brazil,2010,6.837331295
Brazil,2011,7.037816525
Brazil,2012,6.660003662
Brazil,2013,7.140282631
Brazil,2014,6.980998993
Brazil,2015,6.546896935
Brazil,2016,6.374817371
Brazil,2017,6.332929134
Brazil,2018,6.190921783
Brazil,2019,6.451148987
Cambodia,2010,4.141072273
Cambodia,2011,4.161225319
Cambodia,2012,3.898706913
Cambodia,2013,3.674466848
Cambodia,2014,3.88330555
Cambodia,2015,4.162164688
Cambodia,2016,4.461259365
Cambodia,2017,4.585842133
Cambodia,2018,5.121837616
Cambodia,2019,4.998284817
Cameroon,2010,4.554256916
Cameroon,2011,4.433885098
Cameroon,2012,4.244634151
Cameroon,2013,4.271038055
Cameroon,2014,4.240441322
Cameroon,2015,5.037964821
Cameroon,2016,4.816232204
Cameroon,2017,5.07405138
Cameroon,2018,5.250737667
Cameroon,2019,4.936737537
Canada,2010,7.650346279
Canada,2011,7.426053524
Canada,2012,7.415144444
Canada,2013,7.593793869
Canada,2014,7.30425787
Canada,2015,7.412772655
Canada,2016,7.244845867
Canada,2017,7.414868355
Canada,2018,7.175496578
Canada,2019,7.1090765
Chad,2010,3.742871046
Chad,2011,4.393482208
Chad,2012,4.03297472
Chad,2013,3.507663012
Chad,2014,3.460182905
Chad,2015,4.322675228
Chad,2016,4.029350281
Chad,2017,4.558937073
Chad,2018,4.486325264
Chad,2019,4.250799179
Chile,2010,6.63565588
Chile,2011,6.526334763
Chile,2012,6.599128723
Chile,2013,6.74015379
Chile,2014,6.844238281
Chile,2015,6.532749653
Chile,2016,6.579056263
Chile,2017,6.320119381
Chile,2018,6.436220646
Chile,2019,5.942250252
China,2010,4.652736664
China,2011,5.037207603
China,2012,5.094917297
China,2013,5.241090298
China,2014,5.195619106
China,2015,5.303877831
China,2016,5.32495594
China,2017,5.099061489
China,2018,5.131433964
China,2019,5.144120216
Colombia,2010,6.40811348
Colombia,2011,6.463952541
Colombia,2012,6.374879837
Colombia,2013,6.606550694
Colombia,2014,6.44878912
Colombia,2015,6.387571812
Colombia,2016,6.233715057
Colombia,2017,6.157341957
Colombia,2018,5.983512402
Colombia,2019,6.350297928
Costa Rica,2010,7.271053791
Costa Rica,2011,7.228888512
Costa Rica,2012,7.272250175
Costa Rica,2013,7.158000469
Costa Rica,2014,7.247086048
Costa Rica,2015,6.854004383
Costa Rica,2016,7.135617733
Costa Rica,2017,7.22518158
Costa Rica,2018,7.141074657
Costa Rica,2019,6.997618675
Denmark,2010,7.770515442
Denmark,2011,7.78823185
Denmark,2012,7.519909382
Denmark,2013,7.588606834
Denmark,2014,7.507559299
Denmark,2015,7.514424801
Denmark,2016,7.55778265
Denmark,2017,7.593702316
Denmark,2018,7.648785591
Denmark,2019,7.693003178
Dominican Republic,2010,4.735021114
Dominican Republic,2011,5.396535397
Dominican Republic,2012,4.753311157
Dominican Republic,2013,5.015515327
Dominican Republic,2014,5.387331963
Dominican Republic,2015,5.061862469
Dominican Republic,2016,5.238698483
Dominican Republic,2017,5.605202675
Dominican Republic,2018,5.433215618
Dominican Republic,2019,6.004237175
Ecuador,2010,5.838051319
Ecuador,2011,5.795088291
Ecuador,2012,5.960716248
Ecuador,2013,6.019206047
Ecuador,2014,5.945851803
Ecuador,2015,5.964075089
Ecuador,2016,6.115437508
Ecuador,2017,5.839518547
Ecuador,2018,6.128010273
Ecuador,2019,5.809131145
Egypt,2010,4.668916225
Egypt,2011,4.174158573
Egypt,2012,4.204156876
Egypt,2013,3.558520317
Egypt,2014,4.885072708
Egypt,2015,4.762538433
Egypt,2016,4.556740761
Egypt,2017,3.929344177
Egypt,2018,4.005450726
Egypt,2019,4.327831745
El Salvador,2010,6.739911079
El Salvador,2011,4.741294861
El Salvador,2012,5.934371471
El Salvador,2013,6.325063229
El Salvador,2014,5.856523514
El Salvador,2015,6.018496037
El Salvador,2016,6.139824867
El Salvador,2017,6.339318275
El Salvador,2018,6.241199493
El Salvador,2019,6.454820633
Georgia,2010,4.101837158
Georgia,2011,4.203030586
Georgia,2012,4.254445553
Georgia,2013,4.348920822
Georgia,2014,4.287508011
Georgia,2015,4.121940613
Georgia,2016,4.448386192
Georgia,2017,4.45077467
Georgia,2018,4.659097195
Georgia,2019,4.89183569
Germany,2010,6.724531174
Germany,2011,6.621312141
Germany,2012,6.702362061
Germany,2013,6.965125084
Germany,2014,6.984214306
Germany,2015,7.037137508
Germany,2016,6.873763084
Germany,2017,7.074324608
Germany,2018,7.118364334
Germany,2019,7.035472393
Ghana,2010,4.606251717
Ghana,2011,5.608199596
Ghana,2012,5.057261944
Ghana,2013,4.965053082
Ghana,2014,3.860351086
Ghana,2015,3.985916138
Ghana,2016,4.514411449
Ghana,2017,5.481310844
Ghana,2018,5.003693104
Ghana,2019,4.96680975
Greece,2010,5.839558601
Greece,2011,5.372039795
Greece,2012,5.096354008
Greece,2013,4.720251083
Greece,2014,4.75623703
Greece,2015,5.622519016
Greece,2016,5.302619457
Greece,2017,5.14824152
Greece,2018,5.40928936
Greece,2019,5.952157497
Guatemala,2010,6.289748669
Guatemala,2011,5.743353844
Guatemala,2012,5.855717182
Guatemala,2013,5.984601498
Guatemala,2014,6.536030769
Guatemala,2015,6.464986801
Guatemala,2016,6.358916283
Guatemala,2017,6.325118542
Guatemala,2018,6.626591682
Guatemala,2019,6.262175083
Honduras,2010,5.866131306
Honduras,2011,4.961031437
Honduras,2012,4.602218151
Honduras,2013,4.713358402
Honduras,2014,5.055726051
Honduras,2015,4.845436573
Honduras,2016,5.648154736
Honduras,2017,6.019985676
Honduras,2018,5.908423901
Honduras,2019,5.930051327
India,2010,4.989277363
India,2011,4.634871483
India,2012,4.720146656
India,2013,4.427788734
India,2014,4.424379349
India,2015,4.342079163
India,2016,4.179177284
India,2017,4.046111107
India,2018,3.818068743
India,2019,3.24876976
Indonesia,2010,5.457299232
Indonesia,2011,5.172608376
Indonesia,2012,5.36777401
Indonesia,2013,5.292237759
Indonesia,2014,5.597375393
Indonesia,2015,5.04279995
Indonesia,2016,5.136325359
Indonesia,2017,5.098401546
Indonesia,2018,5.340295792
Indonesia,2019,5.346512794
Ireland,2010,7.257389545
Ireland,2011,7.006904125
Ireland,2012,6.964645386
Ireland,2013,6.760085106
Ireland,2014,7.018379211
Ireland,2015,6.830125332
Ireland,2016,7.04073143
Ireland,2017,7.060155392
